"Id","Date","Time","Question","Details","Answer","Notes","Entered By","What type of questions?","What tools were used?","What forms were used?","If Technology Question:","Was the patron referred elsewhere?"
"o18457392","2017-11-07","17:57","","","79","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18454650","2017-11-07","16:05","","","163","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18451715","2017-11-07","14:17","","86","86","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18451692","2017-11-07","14:17","","","115","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18447852","2017-11-07","11:59","","","151","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18445461","2017-11-07","10:13","","","63","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18444134","2017-11-07","08:15","","","7","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18442742","2017-11-06","22:17","","","121","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18441543","2017-11-06","20:11","","137","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18439652","2017-11-06","18:12","","83<br />","83","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18436835","2017-11-06","16:02","","","184","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18433273","2017-11-06","13:52","","","179","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18430108","2017-11-06","12:01","","","162","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18427276","2017-11-06","10:17","","","58","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18424642","2017-11-06","00:00","","","32","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18424212","2017-11-05","22:09","","","89","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18423425","2017-11-05","20:05","","","106","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18422593","2017-11-05","18:20","","","109<br />","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18421336","2017-11-05","16:00","125","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18420475","2017-11-05","14:10","","111","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18419770","2017-11-05","12:12","","","33","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18419007","2017-11-04","20:06","","","35","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18418710","2017-11-04","18:23","","","93","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18417953","2017-11-04","16:18","","","92","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18416669","2017-11-04","13:47","","","75","","Circulation Student","Head Count - Main","blank","blank","blank","Tech Help"
"o18416079","2017-11-04","11:55","","","18","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18415000","2017-11-03","20:07","","","45","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18414658","2017-11-03","18:57","","","74","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18410343","2017-11-03","14:09","","","96","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18407722","2017-11-03","11:56","","","127","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18405603","2017-11-03","09:57","","","55","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18404808","2017-11-03","08:09","","","7","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18404012","2017-11-03","00:05","","","42","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18403399","2017-11-02","22:08","","","111","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18402324","2017-11-02","20:09","","","145","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18400510","2017-11-02","18:03","","","137","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18397767","2017-11-02","16:13","","","172","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18393569","2017-11-02","13:53","","","141","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18390569","2017-11-02","12:07","","","148","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18388014","2017-11-02","10:17","","","84","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18386857","2017-11-02","08:44","","","28","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18385799","2017-11-02","00:09","","","30","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18385488","2017-11-01","23:19","","","107","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18383831","2017-11-01","20:28","","","147","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18381121","2017-11-01","18:10","","","122","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18378244","2017-11-01","16:10","","","166","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18375065","2017-11-01","14:12","","","148","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18371780","2017-11-01","12:12","","167","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18369283","2017-11-01","10:13","43","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18368063","2017-11-01","08:20","","","4","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18367256","2017-11-01","00:07","","","7","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18366890","2017-10-31","22:30","","","46","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18363878","2017-10-31","18:07","111","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18361602","2017-10-31","16:12","","","142","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18360116","2017-10-31","15:17","","84","84","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18355090","2017-10-31","12:04","","","132","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18352390","2017-10-31","09:45","","","55","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18351574","2017-10-31","08:22","","","9","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18350705","2017-10-31","00:06","","","51","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18348502","2017-10-30","20:09","","193","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18346674","2017-10-30","18:34","","","103","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18343472","2017-10-30","16:11","190","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18340133","2017-10-30","14:12","","","187","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18339602","2017-10-30","13:55","","","168","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18336440","2017-10-30","11:58","","","162","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18333829","2017-10-30","10:09","","","77","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18332531","2017-10-30","08:10","","","8","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18331492","2017-10-29","23:55","","","34","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18330960","2017-10-29","22:03","","","72","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18329936","2017-10-29","19:59","","","84","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18328951","2017-10-29","17:58","","","80","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18327944","2017-10-29","16:01","","","67","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18327143","2017-10-29","14:10","","","72","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18326535","2017-10-29","12:08","","","11","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18325720","2017-10-28","20:10","","","25","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18325315","2017-10-28","18:01","","","61","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18323836","2017-10-28","14:10","","","42","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18323093","2017-10-28","11:54","","","34","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
