"Id","Date","Time","Question","Details","Answer","Notes","Entered By","What type of questions?","What tools were used?","What forms were used?","If Technology Question:","Was the patron referred elsewhere?"
"o16832126","2017-08-16","06:53","","","989433","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16821685","2017-08-15","07:21","","","989052","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16797667","2017-08-14","08:15","","","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16797666","2017-08-14","08:14","","","988665","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16788715","2017-08-11","06:45","","","988201","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16781617","2017-08-10","06:53","","","987616","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16770638","2017-08-09","06:52","","","986934","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16763133","2017-08-08","06:24","","","986299","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16754753","2017-08-07","06:58","","","985619","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16752240","2017-08-06","11:28","","","985400","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16745142","2017-08-04","07:11","","","984866","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16737851","2017-08-03","07:34","","","984128","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16729945","2017-08-02","06:59","","","983421","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16624452","2017-08-01","07:02","","","982740","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16615755","2017-07-31","06:48","","","982142","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16613021","2017-07-30","11:20","","","981877","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16606962","2017-07-28","07:10","","","981310<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16599213","2017-07-27","07:00","","","980581<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16591481","2017-07-26","06:55","","","979862","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16568467","2017-07-25","06:46","","","979211","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16559681","2017-07-24","06:49","","","978524","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16557023","2017-07-23","11:29","","","978236","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16550675","2017-07-21","06:43","","","977705","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16543131","2017-07-20","06:46","","","976958","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16503323","2017-07-19","06:41","","","976173","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16494678","2017-07-18","06:37","","","975377","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16484263","2017-07-17","06:46","","","974653","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16481653","2017-07-16","11:32","","","974338","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16475331","2017-07-14","07:47","","","973869","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16475314","2017-07-14","06:47","","","973860","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16468035","2017-07-13","06:55","","","973123","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16459938","2017-07-12","07:05","","","972251","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16450322","2017-07-11","06:53","","","971542","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16441373","2017-07-10","07:03","","","970918","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16439291","2017-07-09","11:22","","","970672","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16430515","2017-07-07","06:29","","","970254","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16412251","2017-07-05","06:50","","","969182","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16404104","2017-07-03","08:06","","","968703","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16402376","2017-07-02","11:23","","","968571","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16394486","2017-06-30","07:56","","","968084","","Circulation Student","Gate Count","blank","blank","blank","blank"
